"Participant.Private.ID","Participant.Status","gorillaExp","arm","Question.Key","Response","counterbalance","order"
10270624,"complete","AB","A_2AlexNorm_1PatAnx","response-1-1","Alex","A","Normal first"
10270624,"complete","AB","A_2AlexNorm_1PatAnx","response-1-2","Pat","A","Normal first"
10270624,"complete","AB","A_2AlexNorm_1PatAnx","response-2","alex and I have more in common, we love to travel ","A","Normal first"
10270624,"complete","AB","A_2AlexNorm_1PatAnx","response-3","I feel for Pat that she is sad, but I do not like negatvie energy around me ","A","Normal first"
10270847,"complete","AB","A_2AlexNorm_1PatAnx","response-1-1","Alex","A","Normal first"
10270847,"complete","AB","A_2AlexNorm_1PatAnx","response-1-2","Pat","A","Normal first"
10270847,"complete","AB","A_2AlexNorm_1PatAnx","response-2","Alex was more excitable and would talk about the subjects, although I was the one who had to bring up new subjects.","A","Normal first"
10270847,"complete","AB","A_2AlexNorm_1PatAnx","response-3","Pat was very down and seemed to have a hard time talking about anything but their troubles.","A","Normal first"
10288304,"complete","AB","B_1AlexAnx_2PatNorm","response-1-1","Pat","B","Anxious first"
10288304,"complete","AB","B_1AlexAnx_2PatNorm","response-1-2","Alex","B","Anxious first"
10288304,"complete","AB","B_1AlexAnx_2PatNorm","response-2","Pat was interested in what I said.  She also had a positive personality.","B","Anxious first"
10288304,"complete","AB","B_1AlexAnx_2PatNorm","response-3","Alex was depressed and it showed.  They were interested in conversation, but there was a background of gloominess.","B","Anxious first"
10288907,"complete","AB","A_1PatAnx_2AlexNorm","response-1-1","Alex","A","Anxious first"
10288907,"complete","AB","A_1PatAnx_2AlexNorm","response-1-2","Pat","A","Anxious first"
10288907,"complete","AB","A_1PatAnx_2AlexNorm","response-2","Interesting, fun convo like talking to a friend. ","A","Anxious first"
10288907,"complete","AB","A_1PatAnx_2AlexNorm","response-3","They complained about everything. They made me feel sad and annoyed. ","A","Anxious first"
10290591,"complete","AB","A_1PatAnx_2AlexNorm","response-1-1","Alex","A","Anxious first"
10290591,"complete","AB","A_1PatAnx_2AlexNorm","response-1-2","Pat","A","Anxious first"
10290591,"complete","AB","A_1PatAnx_2AlexNorm","response-2","Alex was more entertaining","A","Anxious first"
10290591,"complete","AB","A_1PatAnx_2AlexNorm","response-3","I felt that Pat really needs someone to help reassure them all the time","A","Anxious first"
10291341,"complete","AB","A_2AlexNorm_1PatAnx","response-1-1","Alex","A","Normal first"
10291341,"complete","AB","A_2AlexNorm_1PatAnx","response-1-2","Pat","A","Normal first"
10291341,"complete","AB","A_2AlexNorm_1PatAnx","response-2","I liked talking to the Alex chatbot best, because we were relating to one another, and didn't seem to have a wall up when chatting. ","A","Normal first"
10291341,"complete","AB","A_2AlexNorm_1PatAnx","response-3","The Pat chatbot was sad, but wouldn't share or open up with me, so I felt a disconnect. I'm someone who cares and wants to comfort others, and if people put up a wall, it makes it hard to chat with them. Even though this is a bot, I tried to think of Pat as a person and would have wanted to comfort human Pat.","A","Normal first"
10295692,"complete","AB","A_1PatAnx_2AlexNorm","response-1-1","Alex","A","Anxious first"
10295692,"complete","AB","A_1PatAnx_2AlexNorm","response-1-2","Pat","A","Anxious first"
10295692,"complete","AB","A_1PatAnx_2AlexNorm","response-2","They were more positive and generally helpful.","A","Anxious first"
10295692,"complete","AB","A_1PatAnx_2AlexNorm","response-3","They were very pessimistic and kept being like a brick wall seeming as if problems are unsolvable","A","Anxious first"
10310934,"complete","AB","B_1AlexAnx_2PatNorm","response-1-1","Alex","B","Anxious first"
10310934,"complete","AB","B_1AlexAnx_2PatNorm","response-1-2","Pat","B","Anxious first"
10310934,"complete","AB","B_1AlexAnx_2PatNorm","response-2","Alex is more open to me trusts me and i feel he understands me alot than Pat ","B","Anxious first"
10310934,"complete","AB","B_1AlexAnx_2PatNorm","response-3","Pat seems a difficult person to talk to, not open and does not understand me or make me feel nice to talk to him.","B","Anxious first"
10314870,"complete","AB","A_1PatAnx_2AlexNorm","response-1-1","Alex","A","Anxious first"
10314870,"complete","AB","A_1PatAnx_2AlexNorm","response-1-2","Pat","A","Anxious first"
10314870,"complete","AB","A_1PatAnx_2AlexNorm","response-2","Alex was really personable and upbeat. The conversation flowed more naturally with Alex.","A","Anxious first"
10314870,"complete","AB","A_1PatAnx_2AlexNorm","response-3","Pat is very nervous and seemingly timid. Pat seems to worry about many different things and is very unsure of themself.","A","Anxious first"
10317326,"complete","AB","A_1PatAnx_2AlexNorm","response-1-1","Alex","A","Anxious first"
10317326,"complete","AB","A_1PatAnx_2AlexNorm","response-1-2","Pat","A","Anxious first"
10317326,"complete","AB","A_1PatAnx_2AlexNorm","response-2","Alex was more ""happy"" went it comes to living and trying new things.","A","Anxious first"
10317326,"complete","AB","A_1PatAnx_2AlexNorm","response-3","Pat was a little depressing, everyone has their own problems, but thats how life is, you cant private yourself from everything and just pretend life isnt going by.","A","Anxious first"
10318720,"complete","AB","B_1AlexAnx_2PatNorm","response-1-1","Pat","B","Anxious first"
10318720,"complete","AB","B_1AlexAnx_2PatNorm","response-1-2","Alex","B","Anxious first"
10318720,"complete","AB","B_1AlexAnx_2PatNorm","response-2","Pat actually gave me some good advice that I will try to apply to real life.","B","Anxious first"
10318720,"complete","AB","B_1AlexAnx_2PatNorm","response-3","I feel like Alex was just dumping their anxieties onto me. Not helpful for me.","B","Anxious first"
10319013,"complete","AB","A_2AlexNorm_1PatAnx","response-1-1","Alex","A","Normal first"
10319013,"complete","AB","A_2AlexNorm_1PatAnx","response-1-2","Pat","A","Normal first"
10319013,"complete","AB","A_2AlexNorm_1PatAnx","response-2","Alex was fine. Generic, but friendly and could keep the conversation going fairly well.","A","Normal first"
10319013,"complete","AB","A_2AlexNorm_1PatAnx","response-3","Pat's depressive demeanor is just a lot to deal with. It seemed like every response had some sort of hint about how hard things were for them, but refused to ever talk about it. Passive aggressive behavior that I don't really appreciate at all.","A","Normal first"
10320108,"complete","AB","B_2PatNorm_1AlexAnx","response-1-1","Alex","B","Normal first"
10320108,"complete","AB","B_2PatNorm_1AlexAnx","response-1-2","Pat","B","Normal first"
10320108,"complete","AB","B_2PatNorm_1AlexAnx","response-2","alex is a fun person with zero problems or worries","B","Normal first"
10320108,"complete","AB","B_2PatNorm_1AlexAnx","response-3","pat is full of worries and has low self esteem","B","Normal first"
10331151,"complete","AB","A_2AlexNorm_1PatAnx","response-1-1","Alex","A","Normal first"
10331151,"complete","AB","A_2AlexNorm_1PatAnx","response-1-2","Pat","A","Normal first"
10331151,"complete","AB","A_2AlexNorm_1PatAnx","response-2","Alex was positive and worked thru the conversation in a manner that engaged me","A","Normal first"
10331151,"complete","AB","A_2AlexNorm_1PatAnx","response-3","every response was geared towards negative elements of the topics we discussed","A","Normal first"
10332599,"complete","AB","B_2PatNorm_1AlexAnx","response-1-1","Alex","B","Normal first"
10332599,"complete","AB","B_2PatNorm_1AlexAnx","response-1-2","Pat","B","Normal first"
10332599,"complete","AB","B_2PatNorm_1AlexAnx","response-2","I felt like the conversation was quite natural and forthcoming, defintiely felt like I was having a conversation with a real person.","B","Normal first"
10332599,"complete","AB","B_2PatNorm_1AlexAnx","response-3","Pat was hold back and rather redundant. I didn't feel a human connection with Pat.","B","Normal first"
10332661,"complete","AB","A_2AlexNorm_1PatAnx","response-1-1","Alex","A","Normal first"
10332661,"complete","AB","A_2AlexNorm_1PatAnx","response-1-2","Pat","A","Normal first"
10332661,"complete","AB","A_2AlexNorm_1PatAnx","response-2","They had a positive attitude like I did.","A","Normal first"
10332661,"complete","AB","A_2AlexNorm_1PatAnx","response-3","They felt like too much work for me.","A","Normal first"
10333863,"complete","AB","A_1PatAnx_2AlexNorm","response-1-1","Pat","A","Anxious first"
10333863,"complete","AB","A_1PatAnx_2AlexNorm","response-1-2","Alex","A","Anxious first"
10333863,"complete","AB","A_1PatAnx_2AlexNorm","response-2","He seemed more friendly and less weird","A","Anxious first"
10333863,"complete","AB","A_1PatAnx_2AlexNorm","response-3","He had issues and kind of brought the mood down","A","Anxious first"
10333977,"complete","AB","B_2PatNorm_1AlexAnx","response-1-1","Alex","B","Normal first"
10333977,"complete","AB","B_2PatNorm_1AlexAnx","response-1-2","Pat","B","Normal first"
10333977,"complete","AB","B_2PatNorm_1AlexAnx","response-2","He was honest","B","Normal first"
10333977,"complete","AB","B_2PatNorm_1AlexAnx","response-3","He wasnt standing his ground ","B","Normal first"
10334394,"complete","AB","A_1PatAnx_2AlexNorm","response-1-1","Pat","A","Anxious first"
10334394,"complete","AB","A_1PatAnx_2AlexNorm","response-1-2","Alex","A","Anxious first"
10334394,"complete","AB","A_1PatAnx_2AlexNorm","response-2","I was able to relate to pat more. They felt safe talking to me and i would like to have somebody that i feel comfortable and safe with talikng to","A","Anxious first"
10334394,"complete","AB","A_1PatAnx_2AlexNorm","response-3","Alex is not my least faveorite. I felt happy talking to Alex but it was a small talk. I didnt feel any connection. It felt like a chatbot","A","Anxious first"
10334514,"complete","AB","B_1AlexAnx_2PatNorm","response-1-1","Pat","B","Anxious first"
10334514,"complete","AB","B_1AlexAnx_2PatNorm","response-1-2","Alex","B","Anxious first"
10334514,"complete","AB","B_1AlexAnx_2PatNorm","response-2","The Pat bot asked more specific questions. I don't shy away from individuals with a more personable attitude. Alex was more vague and vanilla with the statements and questions.","B","Anxious first"
10334514,"complete","AB","B_1AlexAnx_2PatNorm","response-3","Pat had more spice, personality than Alex. Seemed to have more interest, not as generic.","B","Anxious first"
10346871,"complete","AB","B_2PatNorm_1AlexAnx","response-1-1","Pat","B","Normal first"
10346871,"complete","AB","B_2PatNorm_1AlexAnx","response-1-2","Alex","B","Normal first"
10346871,"complete","AB","B_2PatNorm_1AlexAnx","response-2","Pat was more positive and asked me things about myself.","B","Normal first"
10346871,"complete","AB","B_2PatNorm_1AlexAnx","response-3","Alex was a downer and didn't really things about me.","B","Normal first"
10347192,"complete","AB","A_2AlexNorm_1PatAnx","response-1-1","Alex","A","Normal first"
10347192,"complete","AB","A_2AlexNorm_1PatAnx","response-1-2","Pat","A","Normal first"
10347192,"complete","AB","A_2AlexNorm_1PatAnx","response-2","Alex was very positive, although they didn't ask many questions or give good suggestions.","A","Normal first"
10347192,"complete","AB","A_2AlexNorm_1PatAnx","response-3","Pat was really frustrating to talk to because they were constantly referencing their anxiety and worries.","A","Normal first"
10348325,"complete","AB","A_2AlexNorm_1PatAnx","response-1-1","Alex","A","Normal first"
10348325,"complete","AB","A_2AlexNorm_1PatAnx","response-1-2","Pat","A","Normal first"
10348325,"complete","AB","A_2AlexNorm_1PatAnx","response-2","Pat , because he is more likely like me , he got me better and he understood my advices , he appreciated my time and my advices even though he is busy and stressfull","A","Normal first"
10348325,"complete","AB","A_2AlexNorm_1PatAnx","response-3","Alex , because Pat was more likely ","A","Normal first"
10351970,"complete","AB","A_1PatAnx_2AlexNorm","response-1-1","Alex","A","Anxious first"
10351970,"complete","AB","A_1PatAnx_2AlexNorm","response-1-2","Pat","A","Anxious first"
10351970,"complete","AB","A_1PatAnx_2AlexNorm","response-2","I ranked Alex as my top choice because he was very positive.","A","Anxious first"
10351970,"complete","AB","A_1PatAnx_2AlexNorm","response-3","Pat was extremely negative by constantly chatting about how he was constantly worried about every little thing.","A","Anxious first"
10358415,"complete","AB","B_2PatNorm_1AlexAnx","response-1-1","Pat","B","Normal first"
10358415,"complete","AB","B_2PatNorm_1AlexAnx","response-1-2","Alex","B","Normal first"
10358415,"complete","AB","B_2PatNorm_1AlexAnx","response-2","They seemed to have better answers right away without me digging","B","Normal first"
10358415,"complete","AB","B_2PatNorm_1AlexAnx","response-3","They mentioned they were worried and then didn't want to discuss it.  And they gave lame answers. ","B","Normal first"
10360718,"complete","AB","A_1PatAnx_2AlexNorm","response-1-1","Alex","A","Anxious first"
10360718,"complete","AB","A_1PatAnx_2AlexNorm","response-1-2","Pat","A","Anxious first"
10360718,"complete","AB","A_1PatAnx_2AlexNorm","response-2","Because, In Alex case the bot was understanding the oposite persone more and giving responses according to the user intrest.","A","Anxious first"
10360718,"complete","AB","A_1PatAnx_2AlexNorm","response-3","In pat case the bot was alwase thinking in negitive way and making oposite person bored while talking ","A","Anxious first"
10366087,"complete","AB","A_2AlexNorm_1PatAnx","response-1-1","Alex","A","Normal first"
10366087,"complete","AB","A_2AlexNorm_1PatAnx","response-1-2","Pat","A","Normal first"
10366087,"complete","AB","A_2AlexNorm_1PatAnx","response-2","The conversation with Alex was fun and positive.","A","Normal first"
10366087,"complete","AB","A_2AlexNorm_1PatAnx","response-3","The conversation with Pat was a little sad. ","A","Normal first"
10367266,"complete","AB","B_1AlexAnx_2PatNorm","response-1-1","Alex","B","Anxious first"
10367266,"complete","AB","B_1AlexAnx_2PatNorm","response-1-2","Pat","B","Anxious first"
10367266,"complete","AB","B_1AlexAnx_2PatNorm","response-2","Alex had more personal details","B","Anxious first"
10367266,"complete","AB","B_1AlexAnx_2PatNorm","response-3","Pat was more generic and had less personal details. Pat only talks about me.","B","Anxious first"
10371835,"complete","AB","A_2AlexNorm_1PatAnx","response-1-1","Alex","A","Normal first"
10371835,"complete","AB","A_2AlexNorm_1PatAnx","response-1-2","Pat","A","Normal first"
10371835,"complete","AB","A_2AlexNorm_1PatAnx","response-2","Alex was able to respond without negativity.","A","Normal first"
10371835,"complete","AB","A_2AlexNorm_1PatAnx","response-3","Pat was negative and dreary about almost every subject.  ","A","Normal first"
